,Company,Website,Source,Description,Location,SDG Goal,five Ps,Rainmaking SDG Subtopic,Impact Statement,Location of Impact
2502,Someturva,http://www.someturva.fi,https://plusimpact.io/startups/someturva-1,"SomeBuddy (Someturva in Finland) is an AI assisted digital legal service. With SomeBuddy anyone who has encountered bullying, abuse or threats in social media can report it easily and get SomeBuddy survival kit with legal advice and psychological first-aid customized to their specific needs. Our product is unique solution to the most topical problem of our time aiming to provide access to justice to all social media users globally. Protect your loved ones with SomeBuddy now!",Helsinki,3,People,,,
2503,Fiksuruoka.fi,https://www.fiksuruoka.fi/,https://plusimpact.io/startups/fiksuruokafi-1,"Fiksuruoka.fi (Smart Food Ltd) is a Finnish startup that challenges traditional grocery market by selling surplus batches of food with large discounts in web store. The products are shipped all around Finland and the main goal is to reduce food waste that originates from mistakes in demand forecasting, changes in packages or short best before dates. Visionary business model combined with high expertise in digital marketing, growth hacking, procurement optimisation and service design have been keys for rapid growth. Fiksuruoka.fi offers an easy way for suppliers to sell their surplus batches and makes sure that the products end up to the end customers with a cost effective way. Suppliers save time and effort by selling the products as one big patch and that leaves more time to the profitable business of selling normal priced products. Fiksuruoka.fi has already obtained a large supplier base that ensures steady stream of surplus products and large selection of products.",Helsinki,12,Prosperity,,,
2504,Mesensei,http://www.mesensei.com/,https://plusimpact.io/startups/mesensei-1,"Empowering Communities With Next Generation Internet Software Engine____________ Mesensei is a decentralised platform and a software engine to empower communities to deploy their own digital platforms under their own brand and data controllership... …With the option to acquire the source code for further development in-house or by the open source community. Mesensei is aligned with EU vision of the Next Generation Internet and it has been build for digital service creation with need for EU Digital Single Market regulatory compliancy. Mesensei data hosting and service architecture is build on data transfer minimisation outside of EU and Mesensei is audited for data security and compliancy for usage by government agencies in EU. —- Communities come in all shapes and sizes: - Business Networks - Sports and hobby clubs - Support Groups - Rescue and defence volunteers But they all have the same needs: - They need to know who their members are - Communicate with their members - Mobilise them for action - While maintaining data protection and legal compliancy The operative challenges for mission driven communities are very similiar to corporations. However, their capability to field digital technology is much more limited. And this is the problem we are solving for mission driven communities. Mesensei is designed for communities who find enterprise software - too complicated - expensive - and uninspirational but who cannot rely solely on free social media services because of - advertisement driven business logics - chaotic and noisy content display algorithms - and lack of privacy & data controllership Mesensei is trusted by University of Cambridge to bring together Postdocs 2 Innovators program a collaboration project of 5 universities and 3 corporations. It is used by XES — a student driven Entrepreneurship society to take control of their membership registery and bring the community together in their own digital space. In EU LEDGER program Mesensei is co-creating and experimenting a village application in Giampilieri, Sicily to digitalise the vouchers of an annual food festival using blockchain technology. We are the winners of Airbus Nordic Critical App Challenge for a concept promoting resiliency and disaster response and recovery management. Our ground breaking technological and social experimentation as founding member of Gmerits consortium https://gmerits.eu was awarded by European Innovation Council the 1million euro 1st prize in Blockchains for Social Good competition in the Financial Inclusion Category. Our vision is to be known as the leading community software provider with solid financial performance and active involvement in developer community as the go to software engine & open source development frameworks for building next generation internet solutions.",Espoo,"4,11,16,",,,,
2505,Spark Sustainability,https://sparksustainability.com/,https://plusimpact.io/startups/spark-sustainability-1,"Spark Sustainability enables and inspires people to make climate-friendly choices in everyday life. We give you science-based facts on greenhouse gas emissions, and show you the huge impact our actions have when we combine our efforts. But most of all, we show you that taking climate action isn’t about giving up on things, it’s about improving quality of life. We envision a world in which personal climate action drives business decisions, political agreements and technological advancement to stop climate change. Spark is building a bridge between conscious consumers and companies so that we can create this world together and mitigate one heck of a lot of emissions in the process.",Helsinki,12,Prosperity,,,
2506,Mapple,http://mapple.io,https://plusimpact.io/startups/mapple-1,"Mapple’s urban intelligence software helps urban planners, real estate investors and developers use location data to evaluate and plan new developments. We apply multiple data sets from demographics and people flows to housing trends and serviceability to provide instant insights on investment potential. Why are we doing so? Every week 1.5 million people move to the cities. Municipalities and real estate industry have to work together to develop efficient infrastructure, housing and system of services that will increase livability while significantly reducing the impact on climate. Together with Finnish cities and urban planners, we developed data driven tools to understand how cities function and transformed them into an easy to use software to help cities and real estate companies with their everyday challenges.",Helsingfors,11,Prosperity,,,
2507,Wuudis Solutions Oy,http://wuudis.com/,https://plusimpact.io/startups/wuudis-solutions-oy-1,"Easy-to-use IT Solutions for Forestry. Our starting point is that the forest owner knows the state of his forest property and the measures taken against it, and the implementers know the state of the forest owner. With the help of Wuudis, forest operators manage the client's forest assets in a comprehensive and transparent manner, respecting the will and vision of the forest owner. Clear and easy terrain applications for mobile devices are our core competencies. Through the agile and user-friendly application services, we are agile to transfer our accumulated knowledge over the years. Wuudis is growing and evolving. You can be part of the new functionality produced by our agile software development team and released at regular intervals.",Mikkeli,12,Prosperity,,,
2508,Kide Science,https://kidescience.com,https://plusimpact.io/startups/kide-science-1,"Kide Science helps 3 to 8 year-old kids get excited about the natural sciences through play-based learning, storytelling and dramatic arts. Our proven pedagogical methods are based on rigorous academic research conducted at the University of Helsinki, Finland. Our pedagogical approach is supervised by Jenni Vartiainen, who is a leading researcher in the field of play-based science education. Learning scientific thinking in early childhood predicts better learning outcomes in school. We support children’s scientific thinking through play-based learning. Kide Science was born through years of academic research done in Finland, where we developed our play-based STEAM concept for 3–8-year old children.",Helsingfors,4,People,,,
2509,Adventure Club,https://adventureclub.io,https://plusimpact.io/startups/adventure-club-1,"We care about people, society and the environment. Our goal is to create good, meaningful and delightful products that improve the world around us. We are a club of curious people exploring and venturing the new horizons to create measurable value to our clients and for the community. Our approach is a mix of human-centered design, business thinking and experimenting and we firmly believe in the product led digital transformation. We prefer to work bottom up in building fast prototypes to test and trial with end-users and clients. We use our resources to create positive changes that address social challenges. Impact Club themes are a subset of the UNs Sustainable Development Goals: wellbeing, sustainable consumption & combating the climate change.",Helsingfors,12,Prosperity,,,
2510,Rentmania.com,http://rentmania.com,https://plusimpact.io/startups/rentmaniacom-1,"Rentmania is a peer-to-peer rental marketplace that introduces the goods-on-demand concept to the World. Our service connects owners that posses underutilized items such as motorhomes, sports gears, high-end electronics and DIY tools with people who need them right now. We equip every deal with insurance, delivery, and scoring for a hassle-free experience. Our long-term vision is to turn expensive goods into assets at no additional risk. It's the new philosophy of tech-enabled consumption for a sustainable future.",Helsinki,12,Prosperity,,,
2511,Nordicomm Technologies,http://nordicomm.co,https://plusimpact.io/startups/nordicomm-technologies-1,"NordiComm is Finnish company specializing in building online communities. Our core values and mission are based on inventing and providing innovative products and services to fully capitalize emerging social media trends. We decode the basic human need to connect – and use that to help build deeper customer relationships. We decipher our client’s complex relationships with agencies, partners, customers, suppliers and any other members of their business eco-system. Based on that we build online communities for our clients, making it easier to collaborate, create, share and learn together. Now you could have your whole Social Media Community, designed, built, up and running in less than a month.",Esbo,4,People,,,
2512,Vilike,http://Www.vilike.fi,https://plusimpact.io/startups/vilike-1,"We know technology. We love children. We enjoy gaming. We do sports & education. By combining these, we will have a fun way to activate children to move more and create new ways to learn! We elevate education and games by developing interactive #techtoy and games with sport pedagogically legit content with our partners. With gamification and playable technology, we take traditional play to new dimensions. Along play we can assess skills development data and conduct long-term research with Artificial Intelligence and machine learning.",Klaukkala,3,People,,,
2513,Inscripta Oy,http://inscripta.io,https://plusimpact.io/startups/inscripta-oy-1,"For doctors, the single most time-consuming task is typing in patient notes. This is time not spent on treating patients. Inscripta Medical is a modern and cost-efficient solution designed for dictating, optimizing and storing patient notes onto a company’s health record system. The solution comprises of a dictation application, AI-powered speech recognition, and personnel and workflow management system. Why Inscripta? - 3x less time spent on transcribing the dictations - 1-3 additional daily patients per doctor - Quality of service - Risk free, only pay for the use. No hidden costs",Helsinki,3,People,,,
2514,Funzi,https://www.funzi.fi/,https://plusimpact.io/startups/funzi-1,"Funzi is a mobile learning service that gives the world’s billions of mobile users access to motivating and useful learning. We empower our learners to develop skills they need to build a better tomorrow with our service’s engaging experience and effective pedagogy. These intuitive mobile-friendly courses are created from high-quality content of trusted experts and combined with our unique mobile pedagogy to ensure lasting impact. Our core competence is in “funzifying” learning content through mobile pedagogy and gamification. Funzi is designed mobile-first and works on all connected devices, even lower-end feature phones. Learn on Funzi for free at: www.funzi.mobi We work with the UN System, NGOs, public organizations, and large private sector enterprises. Examples of our customers include UNDP Syria and Bidvest. We have provided cost-effective delivery and monitoring of mobile learning for over 5 million users in developing countries and crisis areas. We work towards the vision of a world without wars, a world where everyone is able to lead happy and healthy lives, and earn a meaningful livelihood.",Espoo,4,People,,,
2515,DeskMe,https://www.deskme.com/,https://plusimpact.io/startups/deskme-1,"DeskMe is an IoT-enabled desk reservation system for hot-desking offices and co-working spaces. Reserve a desk at your own office - or in the external office network, using an IoT-enabled real-time 3D map! DeskMe is an app for organizations that utilize hot-desking practice. It allows users to see their office map with real-time desk availability statuses and possibility to make a reservation. When an own office is fully booked - or simply for convenience - users are able to reserve a desk in an external network of office locations, members of DeskMe Portal. The idea originated from real problems the founders experienced - from a difficulty of finding a free desk or locating a colleague in the hot-desking environment to the challenge of booking a conference room in an unfamiliar city.",Helsinki,8,Prosperity,,,
2516,Kaiku Health,http://kaikuhealth.com,https://plusimpact.io/startups/kaiku-health-1,"Kaiku Health was founded to improve the quality of life for cancer patients. Kaiku Health is a patient’s companion throughout different phases of therapy. It reduces uncertainty around symptoms by educating patients on their self-management strategies. Digital symptom monitoring can help cancer patients live longer, reduce ER visits and improve their quality of life. Algorithms triage patients’ symptom reports, which helps clinical staff prioritise their daily work. Multidisciplinary care teams have access to a comprehensive decision support dashboard, which enables intervening to symptoms early. Clinics using Kaiku Health report decreased phone call burden and more efficient patient visits and contacts. Regulatory-grade patient-reported outcomes data combined with clinical data opens significant new opportunities for evaluating the safety profile and effectiveness of treatments and their long-term outcomes in a real-world setting. This enables the development of new, better targeted ways to treat cancer.",Helsinki,3,People,,,
2517,Silo.AI,https://silo.ai/,https://plusimpact.io/startups/siloai-1,"AI for People defines what Silo.AI stands for. We want to build a world with safe human-centric AI that frees the human mind from manual labour and empowers human creativity. We believe that this is possible by accelerating human-machine co-operation for collective intelligence. Silo.AI is the largest AI solution and service provider in the Nordics that offers scalable expertise in machine learning, computer vision and natural language processing. The company serves clients across several industries on four continents. Some Silo.AI solutions include a tool for the Finnish airline Finnair to improve situational awareness and a tool to improve water quality at water treatment facilities for the global leading engineering company Ramboll. Silo.AI strongly believes in the future of human-centered AI solutions to provide strategic assets to the core business of its customers in a measurable, safe and explainable way.",Helsinki,9,Prosperity,,,
2518,Euformatics,http://www.euformatics.com,https://plusimpact.io/startups/euformatics-1,"Euformatics provides expert computational services at the intersection of life sciences and software. The mission is to bridge the gap between practicing life scientists and creators of new data analysis and modeling methods. The focus is in adapting cutting-edge research in computational methods and putting them to practice. Customers are biotech companies and healthcare providers in Finland and abroad. For over five years Euformatics has been developing practical, enterprise-level tools which bring published and validated technologies to support customers in both clinical diagnostics and translational research. The databases provide context to genome measurements by integrating knowledge from both academic research and user sources. Only sufficient context enables efficient analysis workflows for diagnostic and clinical research purposes.",Espoo,3,People,,,
2519,Diske,http://www.diske.net,https://plusimpact.io/startups/diske-1,"Bono is the very first virtual AI personal trainer. It is not a chatbot but an entity that can take individual needs and variables into account. Bono can be a nutritional coach, sport coach, pharmacist, nurse and many other things. It's like a group of professionals in your pocket. Diske has created an ultimate AI engine that uses multiple datasets and series of algorithms for creating different kind of solutions to healthcare and wellness sectors. State of the art know-how is combined with the latest technologies and spiced up with evidence based medicine. The engine can be used to make different solutions in different industries. Different parts are already tested in both the healthcare sector (hospital, pharmacy) and corporate sector (food industry). Finnish based software company, specialized in health, wellness and web technologies. The intention is to make the best and easiest health management tool ever.",Kuopio,3,People,,,
2520,Naava,http://www.naava.io,https://plusimpact.io/startups/naava-1,"Naava is connecting humanity with nature, by making the smartest green walls on the planet. Naava has a vision, a mission, to deliver high quality natural air to all indoor spaces. Using cutting edge technology, and inspired by the purest air in the world, they have developed beautiful green walls which naturally purify the air we breathe. The name, Naava, derives from an indigenous Finnish moss that grows only in Finnish Lapland, and which only thrives in the cleanest air. We use bio-transformation and microbial filtration to bring this clean air to everyone. Combining millions of years of nature's evolution with the latest, most innovative artificial intelligence, Naava green walls optimize air quality and humidity and are 100 times more efficient than regular green walls. There is increasing evidence of the impact that poor quality air has on our performance and our health. Humanity spends more and more time in urban environments, locked away from natural air.",Helsingfors,3,People,,,
2521,Heimo,https://heimo.co,https://plusimpact.io/startups/heimo-1,"No distraction, just discussion – The most simple discussion forum solution. Heimo’s solution is a modern discussion forum of social media era. Heimo has created a simple, beautiful and user friendly online forum, where the focus is on the discussion flow and mobile usage. Heimo.co is an online community where peers help each other. Anyone can find someone who has gone through the same challenges in their life. The best helper is the one who has solved the same problems. Nothing is more meaningful than compassion and empathy.",Helsinki,3,People,,,
2522,The Shortcut,http://theshortcut.org/,https://plusimpact.io/startups/the-shortcut-1,"The Shortcut is a community-driven organisation that promotes diversity as an engine for growth. They inspire and empower the community through gatherings, workshops, trainings and programmes that help people explore ideas, share knowledge and develop skills to enable new talents required in the startup life. More people from diverse backgrounds are encouraged to consider creating or working for a startup to best utilize their skills and aspirations. The main criterion for participating is ATTITUDE: if you are curious about technology and entrepreneurship, you are welcome to join. This is your starting point to take an active role in (re)building your future. The Shortcut is a non-profit organisation owned by Startup Foundation sr, and a sister organisation to Slush, Junction, Wave Ventures, Maria 01, Rising North and Startup Sauna; in association with Aaltoes, Kiuas, HelTech, Dash, FallUp and Startuplifers.",Helsingfors,8,Prosperity,,,
2523,Meru Health,http://www.meruhealth.com/,https://plusimpact.io/startups/meru-health-1,"Founded by experienced entrepreneurs and scientists, Meru Health develops and delivers cost-effective, clinically proven and engaging digital solutions to empower people living with depression. Meru Health's digital clinic offers an app-based treatment program for depression, burnout and anxiety. The program combines technology, evidence-based therapy and daily support from licensed clinicians - the new standard of mental healthcare. The program is designed as a 12-week program divided into weekly themes in which the focus is on tackling mental health challenges with multiple approaches and by building habits to prevent relapses.",Helsingfors,3,People,,,
2524,GreenStock,http://www.greenstock.no,https://plusimpact.io/startups/greenstock-1,"GreenStock was established in 2018 by architects from NTNU in close dialogue with property owners and the construction industry. GreenStock is a collaboration platform that handles recycling from A to Z. 40% of CO2 emissions and use of energy and water resources come from the construction industry in both Norway and Europe. At the same time, the industry and property owners experience that there are many challenges in reusing building materials: technical, legal and economic. Recycling should be easy and not least profitable.",Trondheim,12,Prosperity,,,
2525,Future Leaders Global,https://www.futureleadersglobal.com/,https://plusimpact.io/startups/future-leaders-global-2,"Future Leaders is a new and bold approach to leadership education, a program designed to celebrate and support the development of more conscious leaders, ready to take on the glocal challenges of tomorrow. Today, we are facing increasingly more complex challenges which we need to face as a global community. This program is an answer to these complex challenges of our time, designed to develop the mindsets, skills and abilities needed in this context.",Norway,8,Prosperity,,,
2526,InMarket AS,https://inmarket.as/,https://plusimpact.io/startups/inmarket-as-1,"We build careers all the way from high school It should be possible for your company to connect with students without requiring a lot of paperwork, resources and time. Our app is designed so that with low resource use you can meet, influence and include students from high school. You can invite in to a project, case, interview, conversation and other relevant activities with just a few keystrokes. We develop a gamification method that maps the business and students on the phone through short cases, specific questions and games. In Market wants to see young people grow with confidence in what they want to become, who they want to be and what they want to achieve. We have tested out a concept that will increase well-being, security and knowledge of the future.",Oslo,8,Prosperity,,,
2527,SOIstrat Consulting,http://soistrat.com,https://plusimpact.io/startups/soistrat-consulting-1,Accelerating People and Planet Sustainability. SOIstrat Consulting is a next practice management company with the vision to promote and accelerate People and Planet Sustainability in business value chains through a simple partnership for Sustainable Development Goals as a strategic approach to do business.,Oslo,9,Prosperity,,,
2528,Haawal,http://www.haawal.com,https://plusimpact.io/startups/haawal-1,"Efficient flood protection, made simple. Flooding has become a global problem, occurring more frequently while aIso being more destructive. With the knowledge that simple solutions can have an enormous impact, Haawal started developing Flood Grating. Finding solutions to counter the increasing issues brought on by a changing climate.",Norway,13,Planet,,,
2529,REPAIRABLE,http://Www.repairable.no,https://plusimpact.io/startups/repairable-1,"We have certified the best repairers! Discreet and solid repair at fixed prices. Repairable is a toolbox for the fashion industry, me and you, on our common journey towards a more sustainable and circular system. Repair is an important part of a new pattern of consumption, and the stores that receive clothing for repair through our membership are actively working to extend the life of textiles and shoes.",Norway,12,Prosperity,,,
2530,GiiK,http://www.giik.org,https://plusimpact.io/startups/giik-1,"In 2015 the UN implemented 17 Sustainable Development Goals, aiming for a sustainable society by 2030. Today we register the US withdrawing from the Paris agreement, CO2 levels at an all time high and increased polarization in our society. GiiK is about gamification, knowledge and people. Our product, Glowb, is a knowledge platform packed with game mechanics and rewards. Its purpose is to achieve lasting attitude and behavioral changes in our society. Our vision is to accelerate our transition towards a sustainable society.",Oslo,"4,13,",,,,
2531,Kruser AS,http://www.kruser.no,https://plusimpact.io/startups/kruser-as-1,"A smarter boat life (google translate) Boating survey 2018 shows that on average 63% of Norwegian boat owners only use their boat eight times during the season. It is therefore a good solution to share a boat for both the boat owner and the environment. As a member of an electric boat pool, you help to make better use of both boat and coastal resources while reducing your own boat costs. When a pool is well organized, resources will be utilized optimally and create benefits for both the users and the environment.",Norway,11,Prosperity,,,
2532,Evoy,https://www.evoy.no,https://plusimpact.io/startups/evoy-1,"Eliminate pollution from boats aroundthe world with electric propulsion. Electric propulsion for boats has again started to appear on lakes, waterways, and oceans and the numbers are rapidly increasing. Presently these are mainly small low voltage systems for slow displacement hulls. Evoy will move electric propulsion into faster planing hull boats. The range is still lower than for comparable ICE installations, but will be sufficient for many. Users will enjoy voyages without noise, smell, pollution and breakdowns. The significantly lower maintenance and usage cost will give owners peace of mind to use their boats like they should – every day.",Norway,11,Prosperity,,,
2533,Lendonomy,https://lendonomy.io,https://plusimpact.io/startups/lendonomy-1,"At Lendonomy, we want to help young people build healthy relationships with money. Sometimes, when you’re young money seems to just slip out of your pockets and before you know, you’re broke and have no idea how to figure out a way to pay for your next meal. Lendonomy is a mobile-based social network for money with the P2P lending core, designed specifically for millennials and generation Z. It works as a mobile app on the user side and as a desktop app on the business side (for Lendonomy partners). Users exist within commonly shared pools of money, within which they can freely borrow and lend. A single user can be both a borrower and a lender. Lendonomy is building a financial product that is set to become a part of a popular culture with the vision to help youth build a healthy relationship with money.",Oslo,4,People,,,
2534,SammeVei,http://SammeVei.no,https://plusimpact.io/startups/sammevei-as-2,"Norway's leading ridesharing app According to NAF, an average Norwegian is standing in traffic jams for an average of 20 minutes during a car journey. During rush hour, drivers in Norway sit alone in 6 out of 7 cars. This results in long queues resulting in loss of time and money, as well as unnecessary CO2 emissions. By reducing car traffic by approximately 10% during rush hour, traffic will flow fine. The solution is rideshare with someone to and from a destination. To achieve this, we have developed a ridesharing app that connects people to daily destinations. By providing a platform connecting drivers and passengers in real time, without the need to publish trips in advance. Our users simply offer rides while leaving the breakfast table and SammeVei matches them with other users commuting the same way. By filling up cars’ empty seats, SammeVei helps reduce traffic and carbon emissions, while letting commuters easily share their commuting costs at the same time.",Norway,11,Prosperity,,,
2535,Sensonomic,http://www.sensonomic.com,https://plusimpact.io/startups/sensonomic-1,"Actionable Insight for Adaptive Agriculture Sensonomic helps you improve your decisions by building digital versions of your operations. We combine your company data with data from satellites, drones and open sources, and use this to inform our computational simulations. Our software allows you to test the outcome of your decisions before implementation. We make global agriculture more profitable and resilient through advanced computational simulations, enabling our clients to quickly adapt their operations.",Norway,15,Planet,,,
2536,As We Are Now,http://www.aswearenow.co,https://plusimpact.io/startups/as-we-are-now-1,A dress that feels as good as it looks. Who said dressing comfortably had to be boring? AWAN (As We Are Now) is a Norwegian brand founded with the belief that women's clothes should feel just as good as they look. Our lounge and everyday dresses are designed for the female body and are made in Portugal in some of the softest and most sustainable fabrics.,Oslo,12,Prosperity,,,
2537,Favrs,http://Favrs.net,https://plusimpact.io/startups/favrs,Favrs works to make Grünerløkka the world's sharing capital! The goal is to make Løkka the friendliest and most sustainable district in the world where people look for opportunities to share and help each other. You save time and money and get more freedom and flexibility. You make the world more friendly and sustainable,Oslo,12,Prosperity,,,
2538,SmartUse,https://smartuse.global,https://plusimpact.io/startups/smartuse-1,"Smart circular sustainable solutions snabling a multi-stakeholder transition to a Smart Circular Economy worldwide. Supporting cities, regions, industries, companies and NGOs to increase resource utilization through smart solutions and collaboration. To increase resource utilization through smart solutions supporting a transition to a Circular Economy. Increased utilization of assets reduces overall consumption and creates positive economic, environmental and social impact. We actively work to change consumption habits and increase the understanding of the importance of access over ownership. Understanding the impact of the platform and sharing economies and shifting to an access over ownership model can support a regenerative vs extractive economic solution that enables a transition to a Circular Economy.",Norway,12,Prosperity,,,
2539,Flare,http://flare.no,https://plusimpact.io/startups/flare-1,"Safety. Flare is a button on your phone, and when you press it you get help from the nearest other helpers around you. Think of it as a digital version of the night names. Helpers. If you know someone needs your help, are you helping them? When you have a flare on your phone, you will be notified when someone around you needs help. For each new download, flare works better and better. The flare, the better.",Norway,3,People,,,
2540,Se7en-HRS,http://seven-hrs.com,https://plusimpact.io/startups/se7en-hrs-1,"Digitization of maritime operations. Seven-HRS is a collaboration platform for maritime operations. We focus on next-generation tools for streamlining HR processes. Seven-HRS understands the complexities and challenges facing the maritime industry. We want to help, by streamlining and modernizing their HR processes. Seven-HRS develops solutions for the industry based on 3 basic principles: User interface - Efficiency - Cost saving",Norway,9,Prosperity,,,
2541,She Community,http://www.sheconference.no/,https://plusimpact.io/startups/she-community-1,"Network for female entrepreneurs, leaders and investors. In SHE we believe that better gender balance in business fuels innovation and growth. The World Economic Forum recently added 47 years to the time needed to reach workplace equality. If we continue like this it will now take 217 years to end gender disparities in the workplace. That is why we are inviting leaders, entrepreneurs, investors, politicians, students and business professionals to join us in creating Europe’s largest gender equality conference We want to inspire and engage women to take the next step and start their positive change.",Oslo,5,People,,,
2542,Spleis,https://www.spleis.no,https://plusimpact.io/startups/spleis-1,"Spleis makes it easy to raise money for good ideas In short, we deal with public financing and want to make it easy for you to raise money for good ideas and good causes. Simply explained, our goal is to create the best and easiest service for those who want to raise money for a specific purpose. We believe in fairness and truthfulness, and therefore choose to trust that the information you provide is accurate and that the purpose you collect for is real.",Oslo,17,Partnerships,,,
2543,Smart Symbiotech AS,http://www.smartsymbiotech.com,https://plusimpact.io/startups/smart-symbiotech-as-1,"Smart Symbiotech ASis a Norwegian-Hungarian company that provides consultancy services in the fields of wastewater treatment and biogas production. Our focus is firstly, on recycling technologies development for effective nutrient and heavy metal separation from wastewater treatment/biogas plants and their process emissions. These recovered resources are further processed into alternative chemical products as part of a circular economy scheme. Smart Symbiotech AS will contribute locally and globally to develop sustainable, innovative and smart recycling technologies for achieving climate change goals worldwide.",Norway,12,Prosperity,,,
2544,SoCentral,http://www.socentral.no,https://plusimpact.io/startups/socentral-1,"Experimenting for a more sustainable society. We started SoCentral in 2012 because we wanted to contribute to the development of the Nordic welfare model. SoCentral is a collaborative incubator that brings together municipalities, government agencies, entrepreneurs and companies who want to develop new solutions to complex challenges.Using our unique network, we gather people and resources, and share in-depth knowledge on innovation in both the public and private sector. SoCentral acts as a partner on collaborative projects to develop and test new solutions to important societal challenges like sustainable city development, climate change or inclusion and diversit. What motivated us was that we were tired of hearing talk about how important it is to collaborate in order to find good solutions to social challenges. Then everyone went home to their silos and worked as before. Therefore, we decided that we would create this collaborative space ourselves.",Norway,"11,16,",,,,
2545,KIND PEOPLE AS,http://www.kindpeople.no,https://plusimpact.io/startups/kind-people-as-1,"It is a law to treat yourself a little extra help (Google translate) We all want to stay in our own home for as long as possible. Sometimes you need a little extra help KIND GROUP consists of several companies that work with innovation, digitalisation, system development and home care. We provide services at competitive prices so you can continue with your everyday life as before. Our goal is to enable our customers to stay longer at home.",Oslo,3,People,,,
2546,iNANOD,http://www.inanod.com/,https://plusimpact.io/startups/inanod-1,"Current developments in nanomedicine research has inspired iNANOD Co-Founders to start an entrepreneurial journey utilizing nanotechnology to improve cancer treatment. NANOD`s research is based on a nanotechnology-based platform, improving the efficacy and reducing side-effects of chemotherapeutic medications by optimizing drug delivery platform. This approach will ensure an optimal targeting and concentration of delivered drug to the diseased tissue. Our mission is to commercialize the research to benefit patients and society.",Nordbyhagen,3,People,,,
2547,Diwala,https://diwala.io,https://plusimpact.io/startups/diwala-2,"Share your Skill Identity - your verifiable certificates Today, displaced individuals and people in emerging markets are challenged by high costs and slow manual processes to verify the authenticity of their skills, identity and credentials. As a result, these individuals have to deal with tedious and out-dated credentialing processes, and are in some cases forced to repeat years of education. This leads to both loss of productivity and inflated unemployment. To tackle this challenge, Diwala has created a platform that enables schools and NGOs to issue skill-based identities, backed by blockchain technology. A skill-ID is a digitally verified record of a person’s educational and work history. Diwala is building an ecosystem of trust, by enabling educational institutions and organizations to safely and digitally issue and verify credentials. Our mission is to build an ecosystem of digital skill identities with verifiable credentials - to create global opportunities for youth and displaced communities.",Oslo,10,Prosperity,,,
2548,Hauge Aqua,http://www.haugeaqua.com/,https://plusimpact.io/startups/hauge-aqua-1,"Technology for sustainable growth in aquaculture. Hauge Aqua's believes that the current production platform based on open pen systems is too weak to sustain significant growth, recognised environmental performance and societal expectation. Hauge Aqua's ambition is to provide a trustworthy and competitive alternative production platform. Hauge Aqua presents a new robust enclosed technology for industrial fish farming. By our excellent team and collaborative partners, we offer the industry a fully contained system in which we address many of current costly challenges that apply in today's farming. The aim of the new technology is to enable sustainable growth in the aquaculture industry that may feed millions.",Norway,14,Planet,,,
2549,ELOP,http://www.elop.no/,https://plusimpact.io/startups/elop-1,"Innovating concrete inspection for critical infrastructure. Our solution helps answering many major challenges for players in verification, control, the construction industry, contractors, rehabilitation, road and subway, water and sewer, power, real estate, insurance and building conservation. We offer advanced technology and rolling scanning to reveal fast and risk-free insights into structures, buildings, bridges, installations and structures. Collected data reveals the concrete structure and shows real-time 3D imaging for increased actionable insight. Our inspection therefore helps to ensure high quality and long life of the structure. Our leading-edge ultrasound system offers data and relevant information to make accurate decisions to safeguard assets, unlock productivity and economic benefits, and reduce environmental impacts.",Norway,12,Prosperity,,,
2550,Motitech AS,https://www.motitech.no,https://plusimpact.io/startups/motitech-as-1,"Increased Physical and Mental Wellbeing. A motivational tool that stimulates older people and people with dementia to increased physical, mental and social wellbeing. Using an specially adapted indoor exercise bike, video and sound, the users can take cycle trips through familiar surroundings and childhood memories. Humans are equally valuable, independent of age and functional level, and we need to focus on each other’s abilities in stead of disabilities. The benefits have been documented through extensive use and several projects; Improved mobility; Fewer falls; Faster rehabilitation; Increased appetite; Reduced obesity; Reduction in aggressive behaviour and medication; Better sleep; Less pain; Improved physical, mental and social well-being; Inspiring for carers and family.",Norway,3,People,,,
2551,Nofence,http://nofence.no/,https://plusimpact.io/startups/nofence-1,"The world’s first virtual fencing system. A radical and disruptive innovation that can make farmers independent of expensive physical fences for their grazing animals. The system consists of a solar-powered GPS collar and a digital map. When an animal crosses the Nofence boundary the collar starts beeping. This warns the animal that a short electric shock will be sent from the collar if the animal continues to move in the same direction. The animals quickly learn the signals, and keeps within the boundaries. Nofence enhances animal welfare and promotes sustainable agriculture.",Norway,15,Planet,,,
2552,Alva Motor Solutions,https://alvaindustries.com/services/,https://plusimpact.io/startups/alva-motor-solutions-1,"Lift more and fly longer with Alva motors. Alva was founded to meet the growing global energy demand with renewable technologies. We develop electric generators for production of clean energy and electric motors to convert this energy into motion. Electric motors and generators featuring lower weight, higher efficiency, better precision and lower noise and vibration than conversional electrical machines. Our aim is to accelerate the world’s transition to green energy by making affordable customized electrical machines available to everyone.",Norway,12,Prosperity,,,
2553,Lifekeys,https://lifekeys.no/,https://plusimpact.io/startups/lifekeys-1,"Online Psychology - Wherever You Are. Life can be difficult and everyone is searching for the key to happiness. Our psychologists will understand the challenges you are experiencing. They can help you make positive changes in your life, cope with life problems and treat mental health issues. Lifekeys offers personalized consultations with licensed psychologists over video and telephone, thus making it easier for anyone in need to get help at the convenience of their time and location. Our team and growing community of expert psychologists are on a mission to make clinical treatment safer, easier to access, and cheaper to afford.",Norway,3,People,,,
